dataset,columna,tipo,unidad,rango_admisible,codificacion_perdidos,procedencia,descripcion
respuestas_anonimizadas.csv,ID,entero secuencial,registro,1-62,vacío = perdido,Exportación Google Forms,Orden de recepción; no corresponde a identidad personal.
respuestas_anonimizadas.csv,Hora de inicio,fecha-hora,AAAA-MM-DD HH:MM:SS,marca temporal válida,vacío = perdido,Exportación Google Forms,Marca temporal conservada desde el archivo crudo.
respuestas_anonimizadas.csv,Hora de finalización,fecha-hora,AAAA-MM-DD HH:MM:SS,marca temporal válida,vacío = perdido,Exportación Google Forms,Marca temporal conservada desde el archivo crudo.
respuestas_anonimizadas.csv,Comentarios del cuestionario,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Qué labor realiza principalmente?,categórica nominal,categoría,"Polinización | Labores de mantenimiento (chapía, corona, poda) | Control fitosanitario (plagas y enfermedades) | Riego | Otra",vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Qué labor realiza principalmente?,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Cuántos años de experiencia tiene en el cultivo de palma? ,categórica ordinal,categoría,De 1 a 5 años | Menos de 1 año | Más de 10 años | De 6 a 10 años,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Cuántos años de experiencia tiene en el cultivo de palma? ,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Cómo se registra hoy lo que usted realiza en el día?,categórica nominal,categoría,No se registra | En papel | El administrador lo anota | Otro,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Cómo se registra hoy lo que usted realiza en el día?,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Cuál es la mayor dificultad en su trabajo diario?,categórica nominal múltiple,categorías separadas por ;,Llevar la cuenta de lo que realizo | Detectar plagas o enfermedades a tiempo | El clima | La comunicación con el administrador | Saber qué producto aplicar | Otra,vacío = perdido,Cuestionario SIMPA,Una persona puede seleccionar más de una opción.
respuestas_anonimizadas.csv,Comentarios: ¿Cuál es la mayor dificultad en su trabajo diario?,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,categórica ordinal,categoría,A veces | Rara vez | Frecuentemente | Muy frecuentemente | Nunca,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Con qué frecuencia observa plagas o enfermedades en las palmas? ,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Usa teléfono inteligente (smartphone)?,categórica dicotómica,categoría,si | no,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Usa teléfono inteligente (smartphone)?,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,Comentarios: ¿Qué tan cómodo se siente usando aplicaciones en el teléfono? (escala 1 a 5) 1 = Nada cómodo  →  5 = Muy cómodo,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,¿Hay señal de internet en las zonas donde usted trabaja?,categórica ordinal,categoría,Casi nunca | A veces | Siempre | Nunca,vacío = perdido,Cuestionario SIMPA,Respuesta conservada de la versión anonimizada.
respuestas_anonimizadas.csv,Comentarios: ¿Hay señal de internet en las zonas donde usted trabaja?,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...",entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,"Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la palma y que la app le indique si tiene una plaga o enfermedad y qué...",texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Tomar una foto de la hoja y que la app le indique si a la planta le falta algún nutriente. ,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,"Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,"Comentarios: Para cada función, indique qué tan útil le parecería en una escala de 1 a 5. Registrar en el teléfono las labores que realiza (riego, polinización, etc.)",texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,"Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,"Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Que la app cuente automáticamente por GPS las flores polinizadas, sin tener que anotar planta por planta. ",texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
respuestas_anonimizadas.csv,Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,entero ordinal,puntos Likert,1-5,vacío = perdido,Cuestionario SIMPA,Escala Likert de cinco puntos.
respuestas_anonimizadas.csv,Comentarios: Indique qué tan útil le parecería en una escala de 1 a 5 (1 = Nada útil → 5 = Muy útil). Recibir alertas cuando se detecte un problema en el cultivo,texto libre,texto,cadena UTF-8 o vacío,vacío = sin comentario,Exportación Google Forms,Campo de comentarios asociado al instrumento.
