id_conjunto;id_origen;nombre;descripcion;actor_origen;entradas_salidas;pre_postcondiciones;prioridad;criterio_verificacion;evidencia_fuente;procedencia;nota_metodologica
H-001;RF-08;Diagnóstico de deficiencias nutricionales por análisis de imagen;El sistema debe analizar la fotografía de una hoja y estimar la deficiencia nutricional presente, sugiriendo la corrección correspondiente.;Administrador / Asesor técnico · EV-02, EV-04;Entrada: fotografía de la hoja. Salida: deficiencia estimada, recomendación de fertilización y explicación asociada.;Pre: imagen válida y lote con variedad asignada. Post: el diagnóstico nutricional queda registrado en el historial del lote.;Must;Ante una hoja con deficiencia previamente conocida, el sistema indica la deficiencia, propone una corrección y almacena el registro.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-002;RF-10;Gestión de variedades de palma;El sistema debe registrar la variedad sembrada por lote y emplearla para parametrizar los umbrales de diagnóstico y de madurez, así como las advertencias sobre polinizadores naturales.;Administrador / Asesor técnico · EV-01, EV-02, EV-04;Entrada: variedad asignada al lote y sus parámetros. Salida: umbrales aplicables a los módulos de diagnóstico y clasificación.;Pre: el lote existe. Post: los módulos de IA operan con los umbrales de la variedad correspondiente.;Must;"Para un lote guineensis, el umbral de madurez aplicado es de 3 frutos desprendidos; para un lote híbrido, de 5.";EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-003;RF-21;Clasificación de madurez del racimo por desprendimiento;El sistema debe estimar el estado de madurez de un racimo a partir de una fotografía de su parte basal, empleando el conteo de frutos desprendidos como criterio y aplicando el umbral correspondiente a la variedad del lote. El sistema no debe emplear el color del fruto como criterio de clasificación.;Técnico de la extractora / Cosechador · EV-04, EV-08;Entrada: fotografía de la parte basal del racimo y variedad del lote. Salida: estado estimado (verde, maduro, sobremaduro) con nivel de confianza y explicación.;Pre: el lote tiene variedad asignada. Post: la estimación queda asociada al racimo, el lote y la fecha.;Must;"Para híbrido, menos de 5 frutos desprendidos se clasifica como verde y 5 o más como maduro; para guineensis el umbral aplicado es 3.";EV-04, EV-08 / ENTR-04;Histórico del ERS;Incluido porque EV-04 forma parte de su traza.
H-004;RF-22;Estimación y alerta preventiva de porcentaje de fruta verde;El sistema debe estimar, antes del despacho de un lote cosechado, el porcentaje de racimos clasificados como verdes, y emitir una alerta cuando dicho porcentaje se aproxime al umbral a partir del cual la planta extractora aplica penalización.;Administrador general / Técnico de la extractora · EV-04, EV-08;Entrada: clasificaciones de madurez del lote cosechado. Salida: porcentaje estimado de fruta verde y alerta si supera el umbral configurado.;Pre: existen racimos clasificados en el lote. Post: la alerta queda registrada antes del despacho.;Must;Configurado un umbral de penalización, un lote cuya estimación de fruta verde alcance o supere ese valor genera una alerta previa al despacho.;EV-04, EV-08 / ENTR-04;Histórico del ERS;Incluido porque EV-04 forma parte de su traza.
H-005;RF-23;Registro de la calificación de calidad emitida por la extractora;El sistema debe permitir registrar los datos del ticket de pesaje emitido por la planta extractora: peso bruto, tara, peso neto y calificación de calidad (tamaño del fruto, fruta verde, sobremadura, malformada y pedúnculo largo).;Administrador general · EV-04;Entrada: datos del ticket de pesaje. Salida: registro de entrega asociado al lote y a la fecha, con su calificación.;Pre: existe un despacho registrado. Post: la calificación queda asociada al lote de origen y disponible para análisis histórico.;Should;Registrado un ticket, sus valores quedan asociados al lote de origen y son consultables en el histórico de entregas.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-006;RF-24;Trazabilidad de la calificación hasta la cuadrilla responsable;El sistema debe permitir rastrear una calificación desfavorable de la extractora hasta el lote de origen, la fecha de corte y la cuadrilla de cosecha responsable, con el fin de distinguir si el problema proviene de la cosecha o del manejo del cultivo.;Técnico de la extractora / Administrador general · EV-04, EV-08;Entrada: identificación del despacho calificado. Salida: lote, fecha de corte, cuadrilla y labores asociadas al período.;Pre: el despacho tiene calificación registrada y el lote tiene labores registradas. Post: se muestra la cadena completa de trazabilidad.;Should;Dado un despacho con penalización por fruta verde, el sistema identifica el lote, la fecha de corte y la cuadrilla que ejecutó la cosecha.;EV-04, EV-08 / ENTR-04;Histórico del ERS;Incluido porque EV-04 forma parte de su traza.
H-007;RF-25;Control de la ventana entre corte y entrega;El sistema debe registrar la fecha y hora de corte de cada lote cosechado y calcular el tiempo transcurrido hasta la entrega en la planta extractora, emitiendo una advertencia cuando dicho intervalo supere el valor recomendado para la variedad.;Técnico de la extractora · EV-04;Entrada: marca temporal de corte y de entrega. Salida: intervalo calculado y advertencia si excede el umbral configurado.;Pre: existe un registro de cosecha con marca temporal. Post: el intervalo queda registrado junto al despacho.;Should;Configurado un umbral de 24 horas, un despacho entregado 30 horas después del corte genera la advertencia correspondiente.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-008;RF-32;Compartición de la estimación de cosecha con la planta extractora;El sistema debe permitir exportar la estimación de cosecha del período hacia la planta extractora, limitando la información compartida al conteo de racimos y al peso promedio estimado, con exclusión de cualquier dato personal o económico.;Técnico de la extractora · EV-04;Entrada: período y lotes seleccionados. Salida: archivo estructurado con conteo de racimos y peso promedio estimado.;Pre: existe una estimación calculada. Post: el archivo queda disponible para su envío, sin contener datos personales.;Should;El archivo exportado contiene conteo de racimos y peso promedio por período y no incluye campos de identificación personal ni información económica.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-009;RF-33;Registro de la guía de remisión del despacho;El sistema debe permitir registrar el número y la fecha de la guía de remisión asociada a cada despacho de fruta, y advertir cuando un despacho se registre sin ella.;Técnico de la extractora · EV-04;Entrada: número y fecha de la guía de remisión. Salida: despacho con guía asociada, o advertencia de ausencia.;Pre: existe un despacho registrado. Post: la guía queda vinculada al despacho.;Could;Un despacho registrado sin número de guía de remisión genera una advertencia visible para la administración antes de su cierre.;EV-04 / ENTR-04;Histórico del ERS;Requisito existente antes del experimento.
H-010;EXP-01;Registro de recepción de fruta en el centro de acopio;El sistema debe registrar cada llegada de vehículo con fruta indicando el centro de acopio, la fecha y hora de ingreso, la finca de procedencia, el productor propietario de la fruta y el conductor del vehículo, y generar un identificador único de recepción.;Basculero / Técnico de extractora · ENTR-04;Entrada: centro de acopio, fecha y hora de ingreso, finca, productor y conductor. Salida: recepción con identificador único.;Pre: el vehículo ingresa a un centro de acopio habilitado. Post: la recepción queda abierta y disponible para el pesaje.;Must;Registrada una llegada con los cinco datos obligatorios, el sistema devuelve un identificador único y permite recuperar por él el centro de acopio, la finca, el productor, el conductor y la fecha y hora.;ENTR-04 congelada · commit 06e241b7ba0ec43d8541c8908bca31a9f7327ffb;Elicitado durante la fase de experimentación para el mínimo de 25 RF.;Derivado únicamente de ENTR-04, desviación metodológica aceptada por el equipo.
