id_cegado;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
R-001;Registro de guía de remisión del vehículo;El sistema debe permitir registrar si el vehículo cuenta con guía de remisión, dado que es un documento exigido por ley para el transporte.;Basculero;Entrada: indicación de presencia o ausencia de guía de remisión. Salida: registro asociado al vehículo.;Precondición: el vehículo se encuentra en recepción. | Postcondición: el estado de la guía de remisión queda registrado.;Should;El sistema almacena el estado de la guía de remisión para cada vehículo recibido.
R-002;Control de la ventana entre corte y entrega;El sistema debe registrar la fecha y hora de corte de cada lote cosechado y calcular el tiempo transcurrido hasta la entrega en la planta extractora, emitiendo una advertencia cuando dicho intervalo supere el valor recomendado para la variedad.;Técnico de la extractora;Entrada: marca temporal de corte y de entrega. Salida: intervalo calculado y advertencia si excede el umbral configurado.;Precondición: existe un registro de cosecha con marca temporal. | Postcondición: el intervalo queda registrado junto al despacho.;Should;Configurado un umbral de 24 horas, un despacho entregado 30 horas después del corte genera la advertencia correspondiente.
R-003;Registro de recepción de fruta en el centro de acopio;El sistema debe registrar cada llegada de vehículo con fruta indicando el centro de acopio, la fecha y hora de ingreso, la finca de procedencia, el productor propietario de la fruta y el conductor del vehículo, y generar un identificador único de recepción.;Basculero / Técnico de extractora;Entrada: centro de acopio, fecha y hora de ingreso, finca, productor y conductor. Salida: recepción con identificador único.;Precondición: el vehículo ingresa a un centro de acopio habilitado. | Postcondición: la recepción queda abierta y disponible para el pesaje.;Must;Registrada una llegada con los cinco datos obligatorios, el sistema devuelve un identificador único y permite recuperar por él el centro de acopio, la finca, el productor, el conductor y la fecha y hora.
R-004;Registro de la guía de remisión del despacho;El sistema debe permitir registrar el número y la fecha de la guía de remisión asociada a cada despacho de fruta, y advertir cuando un despacho se registre sin ella.;Técnico de la extractora;Entrada: número y fecha de la guía de remisión. Salida: despacho con guía asociada, o advertencia de ausencia.;Precondición: existe un despacho registrado. | Postcondición: la guía queda vinculada al despacho.;Could;Un despacho registrado sin número de guía de remisión genera una advertencia visible para la administración antes de su cierre.
R-005;Diagnóstico de deficiencias nutricionales por análisis de imagen;El sistema debe analizar la fotografía de una hoja y estimar la deficiencia nutricional presente, sugiriendo la corrección correspondiente.;Administrador / Asesor técnico;Entrada: fotografía de la hoja. Salida: deficiencia estimada, recomendación de fertilización y explicación asociada.;Precondición: imagen válida y lote con variedad asignada. | Postcondición: el diagnóstico nutricional queda registrado en el historial del lote.;Must;Ante una hoja con deficiencia previamente conocida, el sistema indica la deficiencia, propone una corrección y almacena el registro.
R-006;Compartir estimación de cosecha con la extractora;El sistema debe permitir que la hacienda comparta con la extractora la cantidad estimada de cosecha, sin incluir información personal sensible.;Hacienda / productor;Entrada: estimación de cosecha de la hacienda. Salida: información de estimación visible para la extractora, excluyendo datos personales sensibles.;Precondición: la hacienda generó una estimación de cosecha. | Postcondición: la extractora puede consultar la estimación compartida.;Must;La información compartida con la extractora nunca incluye campos de datos personales sensibles del productor.
R-007;Identificación anticipada de productores con recurrencia de fruta verde;El sistema debe identificar, a partir del histórico de calificaciones, los productores con mayor recurrencia de fruta verde y disponer el listado al menos un mes antes del inicio del período de baja productividad comprendido entre julio y octubre.;Técnico de extractora;Entrada: histórico de calificaciones por productor y período de baja productividad configurado. Salida: listado priorizado de productores para intervención anticipada.;Precondición: existen entregas calificadas de períodos anteriores. | Postcondición: el listado queda disponible con un mes de anticipación al período configurado.;Should;Configurado julio como inicio del período de baja productividad, el sistema genera durante junio el listado de productores ordenado de mayor a menor recurrencia de fruta verde.
R-008;Entrega del ticket al productor y envío por correo;El sistema debe permitir entregar el ticket al conductor o al productor presente y enviarlo automáticamente por correo electrónico a los productores con dirección registrada, dejando constancia del resultado del envío.;Productor / Técnico de extractora;Entrada: ticket emitido y correo registrado del productor. Salida: constancia de entrega y estado del envío como enviado o fallido.;Precondición: el ticket está emitido. | Postcondición: queda registrada la entrega y, cuando corresponde, el estado del envío por correo.;Should;"Emitido el ticket de un productor con correo registrado, el sistema genera el envío y almacena su estado; si el productor no tiene correo registrado, conserva solo la entrega física sin generar error."
R-009;Envío automático de tiquete por correo electrónico;El sistema debe enviar automáticamente el tiquete por correo electrónico a los productores que tienen registrado un correo.;Sistema interno de la empresa;Entrada: correo electrónico registrado del productor, tiquete emitido. Salida: correo electrónico enviado con el tiquete.;Precondición: el productor tiene un correo electrónico registrado en el sistema. | Postcondición: el tiquete es enviado automáticamente a ese correo.;Should;Todo productor con correo registrado recibe automáticamente el tiquete correspondiente a su entrega.
R-010;Verificación de frutos desprendidos según variedad;El sistema debe permitir registrar el número de frutos desprendidos observados y compararlo contra el mínimo exigido según la variedad (3 en guineensis, 5 en híbridos).;Operarios de pista;Entrada: variedad del racimo, número de frutos desprendidos. Salida: indicación de cumplimiento o incumplimiento del criterio de madurez.;Precondición: se conoce la variedad del racimo evaluado. | Postcondición: el sistema indica si el racimo cumple el criterio de madurez.;Must;El sistema aplica el umbral correcto (3 o 5 frutos desprendidos) según la variedad indicada.
